식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
"게류_붉은대게_수컷,다리_생것_대표_7월",66,14.54,0.52,0.0
"게류_붉은대게_수컷,다리_생것_대표_9월",56,12.19,0.46,0.0
"게류_붉은대게_수컷,몸통_생것_대표_10월",81,10.71,3.52,0.76
"게류_붉은대게_수컷,몸통_생것_대표_11월",75,10.33,2.89,1.07
"게류_붉은대게_수컷,몸통_생것_대표_1월",71,10.44,2.69,0.38
"게류_붉은대게_수컷,몸통_생것_대표_2월",73,9.26,3.64,0.0
"게류_붉은대게_수컷,몸통_생것_대표_3월",86,11.37,3.93,0.26
"게류_붉은대게_수컷,몸통_생것_대표_4월",115,12.63,6.55,0.09
"게류_붉은대게_수컷,몸통_생것_대표_5월",70,8.79,3.16,0.71
"게류_붉은대게_수컷,몸통_생것_대표_6월",112,12.36,6.36,0.0
"게류_붉은대게_수컷,몸통_생것_대표_8월",81,10.78,3.78,0.0
"게류_붉은대게_수컷,몸통_생것_대표_9월",81,9.08,4.39,0.23
게류_붉은대게_알_생것_대표_9월,143,16.78,4.42,7.45
"게류_붉은대게_암컷,다리_생것_대표_1월",76,14.53,0.61,2.27
"게류_붉은대게_암컷,몸통_생것_대표_1월",66,8.91,3.05,0.0
"게류_붉은대게_암컷,알_생것_대표_10월",110,15.8,3.28,2.97
"게류_붉은대게_암컷,알_생것_대표_12월",132,15.72,4.06,6.59
"게류_붉은대게_암컷,알_생것_대표_1월",108,13.4,3.99,3.45
"게류_붉은대게_암컷,알_생것_대표_3월",132,18.14,3.77,4.9
"게류_붉은대게_암컷,알_생것_대표_4월",137,16.82,2.89,9.42
"게류_붉은대게_암컷,알_생것_대표_5월",137,19.99,2.98,6.09
"게류_붉은대게_암컷,알_생것_대표_6월",144,19.86,2.48,8.91
"게류_붉은대게_암컷,알_생것_대표_7월",146,19.4,2.74,9.38
"게류_붉은대게_암컷,전체_생것_대표_10월",113,15.12,4.96,0.52
"게류_붉은대게_암컷,전체_생것_대표_11월",84,12.3,2.85,1.22
"게류_붉은대게_암컷,전체_생것_대표_12월",83,12.29,2.63,1.57
"게류_붉은대게_암컷,전체_생것_대표_2월",69,7.4,2.25,3.92
"게류_붉은대게_암컷,전체_생것_대표_3월",63,9.05,1.46,2.62
