식품명,식재료코드
키위(레드참다래)/GAP,1031030004
키위(레드키위),1031040001
키위(레드키위)/일반,1031040002
키위(레드키위)/친환경,1031040003
키위(레드키위)/GAP,1031040004
토마토,1031050001
토마토/일반,1031050002
토마토/친환경,1031050003
토마토/GAP,1031050004
토마토(노란대추방울토마토),1031060001
토마토(노란대추방울토마토)/일반,1031060002
토마토(노란대추방울토마토)/친환경,1031060003
토마토(노란대추방울토마토)/GAP,1031060004
토마토(녹색대추방울토마토),1031070001
토마토(녹색대추방울토마토)/일반,1031070002
토마토(녹색대추방울토마토)/친환경,1031070003
토마토(녹색대추방울토마토)/GAP,1031070004
토마토(대추방울토마토),1031080001
토마토(대추방울토마토)/일반,1031080002
토마토(대추방울토마토)/친환경,1031080003
토마토(대추방울토마토)/GAP,1031080004
토마토(방울토마토(체리토마토)),1031090001
토마토(방울토마토(체리토마토))/일반,1031090002
토마토(방울토마토(체리토마토))/친환경,1031090003
토마토(방울토마토(체리토마토))/GAP,1031090004
토마토(방울토마토(체리토마토))/샐러드용,1031090005
토마토(송이토마토),1031100001
토마토(송이토마토)/일반,1031100002
토마토(송이토마토)/친환경,1031100003
토마토(송이토마토)/GAP,1031100004
토마토(완숙토마토),1031110001
토마토(주황대추방울토마토),1031120001
토마토(주황대추방울토마토)/일반,1031120002
토마토(주황대추방울토마토)/친환경,1031120003
토마토(주황대추방울토마토)/GAP,1031120004
토마토(짭짤이토마토),1031130001
토마토(짭짤이토마토)친환경,1031130002
토마토(짭짤이토마토)/일반,1031130003
토마토(짭짤이토마토)/GAP,1031130004
토마토(흑토마토),1031140001
토마토(흑토마토)/일반,1031140002
토마토(흑토마토)/친환경,1031140003
토마토(흑토마토)/GAP,1031140004
파인애플,1031150001
파인애플/김치제조용,1031150002
"파인애플/껍질제거(깐것), 절단된것",1031150003
"파인애플/껍질제거(깐것), 조각낸것",1031150004
"파인애플/껍질제거(깐것), 조각낸것, 개별포장",1031150005
"파인애플/껍질제거(깐것), 슬라이스",1031150006
파인애플/비가식부위제거,1031150007
파인애플/냉동,1031150008
파인애플(골드파인애플),1031160001
"파인애플(골드파인애플)/통, 껍질제거(깐것)",1031160002
"파인애플(골드파인애플)/껍질제거(깐것), 조각낸것",1031160003
"파인애플(골드파인애플)/껍질제거(깐것), 조각낸것, 개별포장",1031160004
"파인애플(골드파인애플)/껍질제거(깐것), 스틱",1031160005
"파인애플(골드파인애플)/껍질제거(깐것), 슬라이스",1031160006
파인애플(골드파인애플)/비가식부위제거,1031160007
파인애플(골드파인애플)/냉동,1031160008
포도(거봉),1031170001
포도(거봉)/일반,1031170002
포도(거봉)/친환경,1031170003
포도(거봉)/GAP,1031170004
포도(골덴마스컷),1031180001
포도(골덴마스컷)/일반,1031180002
포도(골덴마스컷)/친환경,1031180003
포도(골덴마스컷)/GAP,1031180004
포도(델라웨어),1031190001
포도(델라웨어)/일반,1031190002
포도(델라웨어)/친환경,1031190003
포도(델라웨어)/GAP,1031190004
포도(레드글로브),1031200001
포도(레드글로브)/일반,1031200002
포도(레드글로브)/친환경,1031200003
포도(레드글로브)/GAP,1031200004
포도(머루),1031210001
포도(머루)/일반,1031210002
포도(머루)/친환경,1031210003
포도(머루)/GAP,1031210004
포도(블랙올림피아),1031220001
포도(블랙올림피아)/일반,1031220002
포도(블랙올림피아)/친환경,1031220003
포도(블랙올림피아)/GAP,1031220004
포도(세레단),1031230001
포도(세레단)/일반,1031230002
포도(세레단)/친환경,1031230003
포도(세레단)/GAP,1031230004
포도(씨없는포도),1031240001
포도(청포도(시들러스)),1031250001
포도(청포도(시들러스))/일반,1031250002
포도(청포도(시들러스))/친환경,1031250003
포도(청포도(시들러스))/GAP,1031250004
포도(청포도),1031260001
포도(청포도)/외국산,1031260002
포도(청포도)/일반,1031260003
포도(청포도)/친환경,1031260004
포도(청포도)/GAP,1031260005
포도(캠벨얼리),1031270001
포도(캠벨얼리)/일반,1031270002
포도(캠벨얼리)/친환경,1031270003
포도(캠벨얼리)/GAP,1031270004
포도(크림슨),1031280001
포도(크림슨)/일반,1031280002
포도(크림슨)/친환경,1031280003
포도(크림슨)/GAP,1031280004
샤인머스켓,1031290001
오미자/말린것,1031300001
파파야,1031310001
당근,1040010001
당근/국산,1040010002
당근/외국산,1040010003
당근/일반,1040010004
당근/친환경,1040010005
당근/GAP,1040010006
당근/김치제조용,1040010007
당근/삶은것,1040010008
당근/껍질제거(깐것),1040010009
"당근/껍질제거(깐것), 슬라이스",1040010010
당근/세척한것,1040010011
당근/절단된것,1040010012
당근(꼬마당근),1040020001
더덕,1040030001
더덕/국산,1040030002
더덕/외국산,1040030003
더덕/일반,1040030004
더덕/친환경,1040030005
더덕/GAP,1040030006
더덕/말린것(건조),1040030007
더덕/누른것,1040030008
더덕/껍질제거(깐것),1040030009
"더덕/껍질제거(깐것), 절단된것",1040030010
"더덕/껍질제거(깐것), 채썬것(세절)",1040030011
"도라지/국산, 껍질제거(깐것)",1040040001
"도라지/외국산, 껍질제거(깐것)",1040040002
"도라지/일반, 껍질제거(깐것)",1040040003
"도라지/친환경, 껍질제거(깐것)",1040040004
"도라지/GAP, 껍질제거(깐것)",1040040005
"도라지/강정용, 껍질제거(깐것)",1040040006
"도라지/데친것, 껍질제거(깐것)",1040040007
"도라지/말린것(건조), 껍질제거(깐것)",1040040008
"도라지/누른것, 껍질제거(깐것)",1040040009
도라지/껍질제거(깐것),1040040010
"도라지/껍질제거(깐것), 절단된것",1040040011
"도라지/껍질제거(깐것), 채썬것(세절)",1040040012
"도라지/껍질제거(깐것), 실채",1040040013
마,1040050001
"마/간것(가루, 분말)",1040050002
마/껍질제거(깐것),1040050003
"마/껍질제거(깐것), 절단된것",1040050004
마(단마),1040060001
마(산마),1040070001
마(장마),1040080001
마(장마)/삶은것,1040080002
마늘,1040090001
마늘/국산,1040090002
마늘/외국산,1040090003
마늘/일반,1040090004
마늘/친환경,1040090005
마늘/GAP,1040090006
마늘/김치제조용,1040090007
마늘/껍질제거(깐것),1040090008
"마늘/껍질제거(깐것), 꼭지제거",1040090009
마늘/꼭지제거,1040090010
마늘/다진것,1040090011
무(게걸무),1040100001
무(다발무),1040110001
무(동치미무(둥근무)),1040120001
무(동치미무(둥근무))/김치제조용,1040120002
무(알타리무(총각무)),1040130001
무(알타리무(총각무))/일반,1040130002
무(알타리무(총각무))/친환경,1040130003
무(알타리무(총각무))/GAP,1040130004
무(알타리무(총각무))/김치제조용,1040130005
무(알타리무(총각무))/껍질제거(깐것),1040130006
