레시피구분,레시피명,열량
부침류,두부완자전,열량 : 105.95 kcal
밥류,닭고기산채비빔밥,열량 : 219.34 kcal
튀김류,검은콩고기탕수육,열량 : 273.75 kcal
면류,채소짬뽕,열량 : 316.77 kcal
무침류,실곤약채소무침,열량 : 19.29 kcal
기타,약과,열량 : 211 kcal
국류,와각탕(모시조개탕),열량 : 43.09 kcal
찜류,칠향께(닭찜),열량 : 315.78 kcal
국류,소고기배추샤브탕,열량 : 155.55 kcal
밥류,곤드레밥&amp;부추양념장,열량 : 422.73 kcal
국류,우렁된장찌개,열량 : 126.86 kcal
무침류,근대된장나물,열량 : 24.8 kcal
부침류,늙은호박부추전,열량 : 166.52 kcal
조림류,삼치양념조림,열량 : 175.15 kcal
국류,콩비지찌개,열량 : 120.77 kcal
면류,사누끼우동,열량 : 202.23 kcal
보조식,흰우유&amp;크랜베리현미시리얼,열량 : 187.8 kcal
무침류,참나물,열량 : 21.87 kcal
국류,돈육짜글이찌개,열량 : 221.01 kcal
국류,들깨감자국,열량 : 111.26 kcal
부침류,날치알계란말이,열량 : 95.31 kcal
구이류,삼겹살통마늘구이,열량 : 239.99 kcal
국류,순두부백탕,열량 : 97.5 kcal
무침류,오이지무침,열량 : 27.57 kcal
국류,사골우거지탕,열량 : 222.27 kcal
조림류,꽈리고추장조림,열량 : 30.02 kcal
밥류,콩나물국밥,열량 : 468.55 kcal
죽류,전복야채죽,열량 : 371.28 kcal
구이류,황태구이,열량 : 163.46 kcal
볶음류,파채불고기,열량 : 293.14 kcal
볶음류,볼어묵조림,열량 : 111.1 kcal
무침류,얼갈이된장나물,열량 : 38.3 kcal
죽류,홍게죽,열량 : 334.2 kcal
볶음류,콩불고기,열량 : 210.53 kcal
볶음류,양송이버섯 볶음,열량 : 46.13 kcal
국류,오징어찌개,열량 : 85.39 kcal
무침류,맛살오이초무침,열량 : 37.31 kcal
무침류,물파래무침,열량 : 19.36 kcal
밥류,코코넛밀크새우그린커리,열량 : 531.7 kcal
밥류,잡곡밥(혼합),열량 : 329.7 kcal
무침류,가지나물,열량 : 21.9 kcal
구이류,탄두리오븐치킨,열량 : 300.18 kcal
무침류,깻잎순나물,열량 : 56.62 kcal
무침류,더덕무침,열량 : 69.17 kcal
무침류,옛날탕평채무침(중화절),열량 : 101.92 kcal
무침류,시래기들깨무침(중화절),열량 : 55.76 kcal
국류,호박된장찌개(중화절),열량 : 40.27 kcal
밥류,잡곡밥(찹쌀흑미)-중화절,열량 : 345 kcal
튀김류,반반치킨,열량 : 280.93 kcal
볶음류,매콤주꾸미볶음,열량 : 225.8 kcal
국류,양지무국,열량 : 169.86 kcal
부침류,부추전,열량 : 87.28 kcal
